id,audio_path,question,optionA,optionB,optionC,optionD,correct,ordering_method,audioabsent_optionspresent_num,source_wavs,cat_mapping,orig_idx,idx
67,audios/67.wav,What sound among the options provided has the briefest length of time?,mouse_click,keyboard_typing,train,brushing_teeth,C,consec,2,"['/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav']","{'brushing_teeth': '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', 'crickets': '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', 'train': '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav'}",67,67_rephrased1
67,audios/67.wav,Which of the listed sounds is the one that lasts the shortest amount of time?,mouse_click,keyboard_typing,train,brushing_teeth,C,consec,2,"['/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav']","{'brushing_teeth': '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', 'crickets': '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', 'train': '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav'}",67,67_rephrased2
67,audios/67.wav,"Among the sounds given, which one is the shortest in terms of duration?",mouse_click,keyboard_typing,train,brushing_teeth,C,consec,2,"['/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav']","{'brushing_teeth': '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', 'crickets': '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', 'train': '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav'}",67,67_rephrased3
67,audios/67.wav,What sound from the options is characterized by being the shortest in duration?,mouse_click,keyboard_typing,train,brushing_teeth,C,consec,2,"['/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav']","{'brushing_teeth': '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', 'crickets': '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', 'train': '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav'}",67,67_rephrased4
67,audios/67.wav,Which sound has the shortest length among the options provided?,mouse_click,keyboard_typing,train,brushing_teeth,C,consec,2,"['/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav']","{'brushing_teeth': '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', 'crickets': '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', 'train': '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav'}",67,67_rephrased5
67,audios/67.wav,"Among the sounds listed, which one is the shortest in terms of its duration?",mouse_click,keyboard_typing,train,brushing_teeth,C,consec,2,"['/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav']","{'brushing_teeth': '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', 'crickets': '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', 'train': '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav'}",67,67_rephrased6
67,audios/67.wav,What is the sound among the options that is the shortest in length?,mouse_click,keyboard_typing,train,brushing_teeth,C,consec,2,"['/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav']","{'brushing_teeth': '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', 'crickets': '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', 'train': '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav'}",67,67_rephrased7
67,audios/67.wav,Which sound has the briefest duration among the options provided?,mouse_click,keyboard_typing,train,brushing_teeth,C,consec,2,"['/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav']","{'brushing_teeth': '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', 'crickets': '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', 'train': '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav'}",67,67_rephrased8
67,audios/67.wav,Which sound is the shortest in duration compared to the other options?,mouse_click,keyboard_typing,train,brushing_teeth,C,consec,2,"['/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav']","{'brushing_teeth': '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', 'crickets': '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', 'train': '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav'}",67,67_rephrased9
67,audios/67.wav,Which sound among the options is the one with the shortest time duration?,mouse_click,keyboard_typing,train,brushing_teeth,C,consec,2,"['/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav']","{'brushing_teeth': '/home/data/ESC-50/ESC-50-master/audio/4-154405-A-27.wav', 'crickets': '/home/data/ESC-50/ESC-50-master/audio/4-181362-A-13.wav', 'train': '/home/data/ESC-50/ESC-50-master/audio/4-165845-B-45.wav'}",67,67_rephrased10
