id,question,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories,orig_idx,idx
59,What follows the sound of sheep?,audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D,"['/home/data/ESC-50/ESC-50-master/audio/3-20861-A-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-208757-C-2.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144891-A-19.wav']","['sheep', 'pig', 'thunderstorm']",59,59_rephrased1
59,What noise comes after the sound of sheep?,audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D,"['/home/data/ESC-50/ESC-50-master/audio/3-20861-A-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-208757-C-2.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144891-A-19.wav']","['sheep', 'pig', 'thunderstorm']",59,59_rephrased2
59,What event happens after the sheep make a sound?,audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D,"['/home/data/ESC-50/ESC-50-master/audio/3-20861-A-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-208757-C-2.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144891-A-19.wav']","['sheep', 'pig', 'thunderstorm']",59,59_rephrased3
59,What noise occurs after a sheep is heard?,audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D,"['/home/data/ESC-50/ESC-50-master/audio/3-20861-A-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-208757-C-2.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144891-A-19.wav']","['sheep', 'pig', 'thunderstorm']",59,59_rephrased4
59,What sound event takes place after the sheep sound?,audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D,"['/home/data/ESC-50/ESC-50-master/audio/3-20861-A-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-208757-C-2.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144891-A-19.wav']","['sheep', 'pig', 'thunderstorm']",59,59_rephrased5
59,What noise happens immediately after the sheep's sound?,audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D,"['/home/data/ESC-50/ESC-50-master/audio/3-20861-A-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-208757-C-2.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144891-A-19.wav']","['sheep', 'pig', 'thunderstorm']",59,59_rephrased6
59,What comes next after the sound of a sheep?,audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D,"['/home/data/ESC-50/ESC-50-master/audio/3-20861-A-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-208757-C-2.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144891-A-19.wav']","['sheep', 'pig', 'thunderstorm']",59,59_rephrased7
59,What noise is heard after the sheep's vocalization?,audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D,"['/home/data/ESC-50/ESC-50-master/audio/3-20861-A-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-208757-C-2.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144891-A-19.wav']","['sheep', 'pig', 'thunderstorm']",59,59_rephrased8
59,What sound occurs after the sheep's call?,audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D,"['/home/data/ESC-50/ESC-50-master/audio/3-20861-A-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-208757-C-2.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144891-A-19.wav']","['sheep', 'pig', 'thunderstorm']",59,59_rephrased9
59,What noise follows the sheep's noise.,audios/59.wav,Sheep,"Drinking, sipping",Siren,pig,D,"['/home/data/ESC-50/ESC-50-master/audio/3-20861-A-8.wav', '/home/data/ESC-50/ESC-50-master/audio/1-208757-C-2.wav', '/home/data/ESC-50/ESC-50-master/audio/3-144891-A-19.wav']","['sheep', 'pig', 'thunderstorm']",59,59_rephrased10
60,What sound event typically happens immediately following the car horn sound?,audios/60.wav,Cat,Train,water_drops,Pig,C,"['/home/data/ESC-50/ESC-50-master/audio/1-26177-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-166324-A-15.wav']","['car_horn', 'water_drops']",60,60_rephrased1
60,What follows the sound of a car horn in terms of a sound event?,audios/60.wav,Cat,Train,water_drops,Pig,C,"['/home/data/ESC-50/ESC-50-master/audio/1-26177-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-166324-A-15.wav']","['car_horn', 'water_drops']",60,60_rephrased2
60,What sound event usually comes after the car horn has been sounded?,audios/60.wav,Cat,Train,water_drops,Pig,C,"['/home/data/ESC-50/ESC-50-master/audio/1-26177-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-166324-A-15.wav']","['car_horn', 'water_drops']",60,60_rephrased3
60,What event occurs in the sound sequence after the car horn sound?,audios/60.wav,Cat,Train,water_drops,Pig,C,"['/home/data/ESC-50/ESC-50-master/audio/1-26177-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-166324-A-15.wav']","['car_horn', 'water_drops']",60,60_rephrased4
60,What sound event takes place after a car horn has been activated?,audios/60.wav,Cat,Train,water_drops,Pig,C,"['/home/data/ESC-50/ESC-50-master/audio/1-26177-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-166324-A-15.wav']","['car_horn', 'water_drops']",60,60_rephrased5
60,What sound event happens subsequent to the car horn sound?,audios/60.wav,Cat,Train,water_drops,Pig,C,"['/home/data/ESC-50/ESC-50-master/audio/1-26177-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-166324-A-15.wav']","['car_horn', 'water_drops']",60,60_rephrased6
60,What follows the car horn sound in the sequence of events?,audios/60.wav,Cat,Train,water_drops,Pig,C,"['/home/data/ESC-50/ESC-50-master/audio/1-26177-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-166324-A-15.wav']","['car_horn', 'water_drops']",60,60_rephrased7
60,What is the sound event that occurs after a car horn has been triggered?,audios/60.wav,Cat,Train,water_drops,Pig,C,"['/home/data/ESC-50/ESC-50-master/audio/1-26177-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-166324-A-15.wav']","['car_horn', 'water_drops']",60,60_rephrased8
60,What sound event happens right after the sound of a car horn?,audios/60.wav,Cat,Train,water_drops,Pig,C,"['/home/data/ESC-50/ESC-50-master/audio/1-26177-A-43.wav', '/home/data/ESC-50/ESC-50-master/audio/3-166324-A-15.wav']","['car_horn', 'water_drops']",60,60_rephrased9
63,What is the second sound event to occur?,audios/63.wav,Crackling fire,Dog,Mouse click,water_drops,D,"['/home/data/ESC-50/ESC-50-master/audio/1-43807-D-47.wav', '/home/data/ESC-50/ESC-50-master/audio/4-168155-A-15.wav', '/home/data/ESC-50/ESC-50-master/audio/1-50688-A-17.wav', '/home/data/ESC-50/ESC-50-master/audio/4-180380-A-10.wav']","['airplane', 'water_drops', 'pouring_water', 'rain']",63,63_rephrased1
63,Which sound event takes place after the first one?,audios/63.wav,Crackling fire,Dog,Mouse click,water_drops,D,"['/home/data/ESC-50/ESC-50-master/audio/1-43807-D-47.wav', '/home/data/ESC-50/ESC-50-master/audio/4-168155-A-15.wav', '/home/data/ESC-50/ESC-50-master/audio/1-50688-A-17.wav', '/home/data/ESC-50/ESC-50-master/audio/4-180380-A-10.wav']","['airplane', 'water_drops', 'pouring_water', 'rain']",63,63_rephrased2
